x_mm,y_mm,thickness_mm
1.836734693877550839e+01,1.846153846153846416e+02,1.500000365354145604e+00
1.836734693877550839e+01,1.897435897435897516e+02,1.500067759858631833e+00
1.836734693877550839e+01,1.948717948717948900e+02,1.519822441109729860e+00
1.836734693877550839e+01,2.000000000000000000e+02,5.249999999999984013e+00
2.448979591836734571e+01,0.000000000000000000e+00,5.250000000000000888e+00
2.448979591836734571e+01,5.128205128205128638e+00,8.999577434865525305e+00
2.448979591836734571e+01,1.025641025641025728e+01,8.999999977979332044e+00
2.448979591836734571e+01,1.538461538461538680e+01,8.999999999998943068e+00
2.448979591836734571e+01,2.051282051282051455e+01,9.000000000000001776e+00
2.448979591836734571e+01,2.564102564102564230e+01,9.000000000000001776e+00
2.448979591836734571e+01,3.076923076923077360e+01,9.000000000000001776e+00
2.448979591836734571e+01,3.589743589743589780e+01,9.000000000000001776e+00
2.448979591836734571e+01,4.102564102564102910e+01,9.000000000000001776e+00
2.448979591836734571e+01,4.615384615384616041e+01,9.000000000000001776e+00
2.448979591836734571e+01,5.128205128205128460e+01,9.000000000000001776e+00
2.448979591836734571e+01,5.641025641025641590e+01,9.000000000000001776e+00
2.448979591836734571e+01,6.153846153846154721e+01,9.000000000000001776e+00
2.448979591836734571e+01,6.666666666666667140e+01,9.000000000000001776e+00
2.448979591836734571e+01,7.179487179487179560e+01,8.999999999999882760e+00
2.448979591836734571e+01,7.692307692307693401e+01,8.999998390601112064e+00
2.448979591836734571e+01,8.205128205128205821e+01,2.467856854245172205e+00
2.448979591836734571e+01,8.717948717948718240e+01,1.500000047544201021e+00
2.448979591836734571e+01,9.230769230769232081e+01,1.500000000000007994e+00
2.448979591836734571e+01,9.743589743589744501e+01,1.500000000000000000e+00
2.448979591836734571e+01,1.025641025641025692e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.076923076923077076e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.128205128205128318e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.179487179487179560e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.230769230769230944e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.282051282051282044e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.333333333333333428e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.384615384615384812e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.435897435897435912e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.487179487179487296e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.538461538461538680e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.589743589743589780e+02,1.500000000000000000e+00
2.448979591836734571e+01,1.641025641025641164e+02,1.500000000000000222e+00
2.448979591836734571e+01,1.692307692307692548e+02,1.500000000000005329e+00
2.448979591836734571e+01,1.743589743589743648e+02,1.500000000000210720e+00
2.448979591836734571e+01,1.794871794871795032e+02,1.500000000019802826e+00
2.448979591836734571e+01,1.846153846153846416e+02,1.500000004872284354e+00
2.448979591836734571e+01,1.897435897435897516e+02,1.500003029699985557e+00
2.448979591836734571e+01,1.948717948717948900e+02,1.503900913003239692e+00
2.448979591836734571e+01,2.000000000000000000e+02,5.249999999999978684e+00
3.061224489795918302e+01,0.000000000000000000e+00,5.250000000000000888e+00
3.061224489795918302e+01,5.128205128205128638e+00,8.999800357518006777e+00
3.061224489795918302e+01,1.025641025641025728e+01,8.999999995626295046e+00
3.061224489795918302e+01,1.538461538461538680e+01,8.999999999999930722e+00
3.061224489795918302e+01,2.051282051282051455e+01,9.000000000000001776e+00
3.061224489795918302e+01,2.564102564102564230e+01,9.000000000000001776e+00
3.061224489795918302e+01,3.076923076923077360e+01,9.000000000000001776e+00
3.061224489795918302e+01,3.589743589743589780e+01,9.000000000000001776e+00
3.061224489795918302e+01,4.102564102564102910e+01,9.000000000000001776e+00
3.061224489795918302e+01,4.615384615384616041e+01,9.000000000000001776e+00
3.061224489795918302e+01,5.128205128205128460e+01,9.000000000000001776e+00
3.061224489795918302e+01,5.641025641025641590e+01,9.000000000000001776e+00
3.061224489795918302e+01,6.153846153846154721e+01,9.000000000000001776e+00
3.061224489795918302e+01,6.666666666666667140e+01,9.000000000000001776e+00
